artifact,profile,instance,width,height,method,seed,metric,value,encoder_params,decoder_params,total_params,compression_factor,elapsed_seconds,job_shard_rank,job_shard_world_size,git_commit,git_dirty,config_source,training_json,metric_versions_json,verification_status
smoke,smoke,kodim01,768,512,G-P-PEPS,0,flip,0.8791800141334534,426496,11459,437955,2.69353700722677,1.1324323960579932,1,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,G-P-PEPS,0,lpips,1.0542086362838745,426496,11459,437955,2.69353700722677,1.1324323960579932,1,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,G-P-PEPS,0,lsd,0.09656267235123095,426496,11459,437955,2.69353700722677,1.1324323960579932,1,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,G-P-PEPS,0,psnr,7.303258447934697,426496,11459,437955,2.69353700722677,1.1324323960579932,1,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,G-P-PEPS,0,ssim,0.023156989365816116,426496,11459,437955,2.69353700722677,1.1324323960579932,1,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,NTC_PEPS,0,flip,0.8602069020271301,417792,39811,457603,2.577885197430961,0.9500314970500767,2,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,NTC_PEPS,0,lpips,1.062461495399475,417792,39811,457603,2.577885197430961,0.9500314970500767,2,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,NTC_PEPS,0,lsd,0.09588253369546239,417792,39811,457603,2.577885197430961,0.9500314970500767,2,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,NTC_PEPS,0,psnr,8.685607097595566,417792,39811,457603,2.577885197430961,0.9500314970500767,2,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
smoke,smoke,kodim01,768,512,NTC_PEPS,0,ssim,0.13755753636360168,417792,39811,457603,2.577885197430961,0.9500314970500767,2,4,9004fe2240b9e84c55ae641ba78c0ad5f83398a6,True,/home/aup/yy/workspace/peps/configs/paper/image_repro_smoke.toml,"{""batch_size"":512,""checkpoint_every"":1,""cosine"":true,""encoder_lr"":0.1,""log_every"":1,""loss"":""l2"",""model_lr"":0.001,""seed"":0,""steps"":1,""task"":""image"",""total_steps"":1}","{""flip-evaluator"":""1.7"",""lpips"":""0.1.4"",""torch"":""2.10.0+rocm7.0"",""torchmetrics"":""1.9.0""}",smoke_not_paper_comparable
