instance,provider,method,seed,budget_steps,psnr,ssim,psnr_AO,psnr_ARM,psnr_DIFF,psnr_Displacement,psnr_metal,psnr_normal,psnr_rough,psnr_specular,ssim_AO,ssim_ARM,ssim_DIFF,ssim_Displacement,ssim_metal,ssim_normal,ssim_rough,ssim_specular,interval_train_seconds,cumulative_train_seconds,interval_steps_per_second,evaluation_seconds,completed_trajectory
rails-001,ambientcg,NTC_N,1,50,16.783048090391457,0.2720557898283005,21.02306223137667,,17.13865527607884,16.64834918865359,9.997114608536267,17.650204098145277,18.2409031395581,,0.3264431655406952,,0.13818086683750153,0.25261572003364563,0.5343281626701355,0.1793764978647232,0.2013903260231018,,2.7192617589998918,2.865357546999803,14.709874791425548,0.0021327050001218595,True
rails-001,ambientcg,NTC_N,2,50,16.582299081949976,0.21166376024484634,19.34503113978642,,16.682934579709144,16.292610495691548,10.13409926347165,17.93019332323468,19.108925689806412,,0.25469425320625305,,0.134676992893219,0.22012627124786377,0.29903629422187805,0.16602806746959686,0.19542068243026733,,0.7242087889999311,0.8691540399997848,55.23269063778761,0.0022199860000000626,True
roof-09,polyhaven,NTC_N,0,50,19.35494140345431,0.42030425667762755,,19.509724596810173,20.093816243243616,15.662471275792715,,15.783343065424614,,25.72535183600042,,0.5564703941345215,0.4091871678829193,0.32772740721702576,,0.2919372618198395,,0.5161990523338318,0.7404206869998688,0.8876575639999373,54.023342003148386,0.002094934999831821,True
roof-09,polyhaven,NTC_N,1,50,19.6617367032425,0.3947983801364899,,20.713063202652073,21.356710591091606,14.261667446634124,,16.283730040003178,,25.693512235831513,,0.397232323884964,0.5031536817550659,0.2617247998714447,,0.31965628266334534,,0.4922248125076294,1.0223400999998375,1.175457588999734,39.12592296830219,0.0035062660001585755,True
roof-09,polyhaven,NTC_N,2,50,19.37384785041218,0.4242063879966736,,19.369734007504643,20.234310172978148,14.883085023947022,,16.39949651043345,,25.982613537197633,,0.6096236109733582,0.43765854835510254,0.2970077097415924,,0.33619675040245056,,0.44054532051086426,0.7377588269998796,0.8819913019999603,54.21826013612241,0.0019885340000200813,True
rails-001,ambientcg,NTC_PinkPEPS,0,50,17.64601481836275,0.3050440475344658,22.043141643516243,,17.565702311071824,17.677148970976084,10.141552653741934,18.73392724129513,19.714616089575287,,0.400615930557251,,0.15582795441150665,0.36250051856040955,0.3792906701564789,0.24360018968582153,0.28842902183532715,,2.752912952000088,3.3990020250000725,14.530063499079619,0.0076173450001988385,True
rails-001,ambientcg,NTC_PinkPEPS,1,50,17.70367980306739,0.3239893888433774,22.716592411748668,,16.864024743208226,17.735885130740446,10.22156966463732,18.808986230673163,19.875020637396517,,0.40623268485069275,,0.15472561120986938,0.3507913649082184,0.5188698768615723,0.24823637306690216,0.26508042216300964,,2.526341219999722,3.13161656699981,15.833173952647774,0.007621635000077731,True
rails-001,ambientcg,NTC_PinkPEPS,2,50,17.596309113342624,0.31012338648239773,22.157800655069547,,17.131850708195916,17.665618768432264,10.186857437855167,18.606462242604323,19.829264867898516,,0.442975789308548,,0.1410866528749466,0.426944762468338,0.2643667757511139,0.2466755509376526,0.33869078755378723,,2.2979917150003075,2.75781481800027,17.406503138761163,0.011088799999924959,True
roof-09,polyhaven,NTC_PinkPEPS,0,50,19.993242460294926,0.4628289580345154,,20.48285860502654,20.860633426113683,15.339273754151092,,16.661803297278222,,26.621643218905092,,0.6419761776924133,0.5143689513206482,0.35424384474754333,,0.3342142105102539,,0.46934160590171814,1.9998137839995707,2.4650733159994616,20.001862333402432,0.007337363000033292,True
roof-09,polyhaven,NTC_PinkPEPS,1,50,19.9737727218321,0.48126757740974424,,20.976360126756887,21.004481436218615,15.4824646084177,,16.596640513273496,,25.8089169244938,,0.6208298802375793,0.48791155219078064,0.3725324869155884,,0.39561617374420166,,0.5294477939605713,2.0137225050000325,2.4725396009998803,19.863710069625185,0.007602944999916872,True
roof-09,polyhaven,NTC_PinkPEPS,2,50,20.02710929843331,0.44225998520851134,,20.69192188610101,21.699004724814003,14.578743178739593,,17.273655402845318,,25.892221299666623,,0.6032608151435852,0.5243597030639648,0.2851738929748535,,0.3732624053955078,,0.4252431094646454,2.002004539999689,2.458575079999491,19.979974670789815,0.00731570300013118,True
rails-001,ambientcg,BI-Grid,0,200,22.642251638230064,0.6202291200558344,26.52172965638945,,23.248723449561982,26.865794769367245,12.081588737322049,19.129468694105366,28.006204522634302,,0.7444016933441162,,0.7325443625450134,0.6603366732597351,0.5068270564079285,0.3277681767940521,0.7494967579841614,,1.9120024279998233,3.624191197999835,78.45178322127835,0.0010758579999219364,True
rails-001,ambientcg,BI-Grid,1,200,23.55856573665403,0.6279269258181254,26.98439140357772,,22.80731059461615,29.130857968399837,13.839495316728003,19.200227787098385,29.389111349504095,,0.771080493927002,,0.6902958750724792,0.7142841815948486,0.45905765891075134,0.3412695825099945,0.7915737628936768,,2.77085173200021,5.352881786000353,54.134978883088294,0.0010999770001944853,True
rails-001,ambientcg,BI-Grid,2,200,25.840964348982016,0.639916385213534,27.043415412720506,,20.55962795405689,30.091008669846108,28.62465885245126,19.327253316782425,29.39982188803491,,0.7721518874168396,,0.4131525456905365,0.7774868011474609,0.7430884838104248,0.34873223304748535,0.784886360168457,,1.9185500649996357,2.6925352139996903,78.18404259365965,0.0010694669999793405,True
roof-09,polyhaven,BI-Grid,0,200,28.2367108177421,0.8586671113967895,,28.096160378122658,28.413364664265227,30.96175145819847,,21.20680310486218,,32.50547448326198,,0.894839346408844,0.8683965802192688,0.893322765827179,,0.7654688358306885,,0.8713080286979675,1.9344479109997792,2.7013761689997864,77.54150377844789,0.001092887999902814,True
roof-09,polyhaven,BI-Grid,1,200,28.06951779950257,0.8576727032661438,,28.281574600375468,28.672830005927274,30.633853562563473,,19.83342121642186,,32.92590961222477,,0.894769012928009,0.8753936290740967,0.8833959102630615,,0.750129222869873,,0.8846757411956787,1.9435790769994128,2.705506548999665,77.17720455788037,0.0009912569998959952,True
roof-09,polyhaven,BI-Grid,2,200,28.66813946744419,0.8686135411262512,,28.233368586945502,28.613228177750468,31.554610792309763,,22.416478583205986,,32.52301119700921,,0.8987991213798523,0.8709099888801575,0.905989944934845,,0.7927548885345459,,0.8746137619018555,1.9249997019996954,2.6952866949998224,77.92208998483457,0.0009894370000438357,True
