scope,paper_table,artifact,loss,instance,method,method_key,seed,iou,paper_iou,delta_iou,l1,mape,flip,encoder_params,decoder_params,total_params,evaluated_voxels,training_seconds,streamed_evaluation_seconds,render_and_flip_seconds,total_gpu_occupied_seconds,physical_gpu_id
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,TI-Grid,grid,0,0.9477488312738648,0.955,-0.007251168726135182,0.0010855173610095816,3.1199448719777036,,589824,9601,599425,134217728,1228.2212044099997,2.0865027030013152,1.7999991541728377e-07,1230.307707293001,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,Grid-PEPS,grid_peps,0,0.9569297285517198,0.909,0.04792972855171973,0.0011722869549491033,1.3729287572687243,,589824,16513,606337,134217728,3451.955949015999,3.575348803999077,1.4999386621639132e-07,3455.531297969992,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,Hash,hash,0,0.7209266943574029,0.64,0.08092669435740285,0.07270357614563572,15.715744942644367,,589824,9601,599425,134217728,1173.287497297999,4.172710622999148,4.6000059228390455e-07,1177.4602083809987,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,Hash-PEPS,hash_peps,0,0.8554278531316052,0.876,-0.020572146868394814,0.04018242608452762,10.1641589447409,,589824,16513,606337,134217728,2111.2319541399993,14.908705116002238,4.1000021155923605e-07,2126.1406596660017,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,LPE,lpe,0,0.9494678129250237,0.902,0.04746781292502367,0.001963234781797236,1.8138679450122916,,589824,9601,599425,134217728,1153.8491127310044,4.455665993998991,1.899970811791718e-07,1158.3047789150005,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,M-Grid,m_grid,0,0.9414262328439416,0.902,0.03942623284394153,0.0019888456336091044,1.442214843934701,,598016,8833,606849,134217728,1013.3538443489997,2.081234934001259,1.6999911167658865e-07,1015.4350794530001,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,M-Hash,m_hash,0,0.9808220741449766,0.91,0.07082207414497654,0.000620233380750141,0.9134026702993789,,598016,8961,606977,134217728,1840.5122962479982,7.584842973999912,2.3000029614195228e-07,1848.0971394519984,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,M-HashPEPS,m_hashpeps,0,0.9747657636545198,0.91,0.0647657636545198,0.001194901427558512,1.0684847768448165,,598016,12033,610049,134217728,3919.8666203730027,25.200516509998124,1.9999424694105983e-07,3945.067137082995,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,M-PEPS,m_peps,0,0.9810971962213016,0.908,0.07309719622130162,0.0016522817703970444,1.3029953680691466,,598016,11137,609153,134217728,1905.5037482269981,3.0511796950013377,1.899970811791718e-07,1908.5549281119966,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,PE,pe,0,0.7431787449082802,0.893,-0.14982125509171984,0.0052381969952244554,4.266527504188171,,0,12481,12481,134217728,911.880363313001,2.7618013469982543,2.999986463692039e-07,914.6421649599979,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,lucy,TI-Grid,grid,0,0.86272639644674,0.904,-0.04127360355326004,0.001115657849349252,2.055339168281276,,589824,9601,599425,134217728,1227.1323218290017,2.101636671999586,3.1999661587178707e-07,1229.233958820998,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,thai-statue,Grid-PEPS,grid_peps,0,0.9616819673878664,0.93,0.03168196738786633,0.0017211399988620454,1.5980898032723452,,589824,16513,606337,134217728,3448.5275165670027,3.7149039750001975,1.5999830793589354e-07,3452.2424207020013,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,thai-statue,Hash,hash,0,0.6320989408565754,0.574,0.05809894085657541,0.10780302136470869,22.441155613227846,,589824,9601,599425,134217728,1175.5109393230014,4.5424162529961905,2.800006768666208e-07,1180.0533558559982,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,thai-statue,Hash-PEPS,hash_peps,0,0.8731035202795239,0.831,0.04210352027952391,0.04480041435102869,11.593777145260091,,589824,16513,606337,134217728,2108.792004185998,14.642777198998374,2.0999868866056204e-07,2123.434781594995,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,thai-statue,LPE,lpe,0,0.9555458298860497,0.925,0.030545829886049702,0.0016781045735688787,2.007661901889101,,589824,9601,599425,134217728,1150.2489580170004,3.996132344000216,2.00001522898674e-07,1154.2450905610021,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,thai-statue,M-Grid,m_grid,0,0.9344487726158237,0.924,0.010448772615823665,0.0010271595739244706,1.6110152679765577,,598016,8833,606849,134217728,1013.3104735849993,2.091157505994488,2.7000351110473275e-07,1015.4016313609973,2
